iter	Passed	Remaining
457	817	967
458	818	964
459	819	961
460	820	958
461	821	956
462	822	953
463	823	951
464	824	948
465	825	945
466	826	942
467	827	940
468	827	937
469	828	934
470	829	931
471	830	928
472	831	926
473	832	923
474	833	920
475	833	918
476	834	915
477	835	912
478	836	909
479	837	907
480	838	905
481	839	902
482	840	899
483	841	897
484	842	894
485	843	891
486	844	889
487	844	886
488	845	883
489	846	881
490	847	878
491	848	876
492	849	873
493	850	871
494	851	868
495	852	866
496	853	863
497	854	861
498	855	858
499	856	856
500	857	853
501	858	851
502	858	848
503	859	846
504	860	843
505	861	841
506	862	838
507	863	836
508	864	833
509	865	831
510	865	828
511	867	826
512	868	824
513	869	822
514	870	819
515	871	817
516	872	815
517	873	812
518	874	810
519	875	807
520	876	805
521	877	803
522	878	800
523	879	798
524	879	796
525	880	793
526	882	791
527	883	789
528	884	787
529	885	784
530	886	782
531	887	780
532	888	778
533	889	775
534	889	773
535	890	771
536	891	768
537	892	766
538	893	764
539	894	761
540	895	759
541	896	757
542	897	755
543	898	753
544	899	750
545	900	748
546	901	746
547	902	744
548	903	742
549	904	740
550	905	738
551	906	736
552	908	734
553	909	732
554	910	729
555	911	728
556	913	726
557	914	724
558	915	722
559	916	719
560	917	717
561	918	715
562	919	713
563	920	711
564	921	709
565	922	707
566	923	705
567	924	702
568	925	700
569	926	699
570	927	697
571	928	695
572	930	693
573	931	691
574	932	689
575	933	687
576	934	685
577	936	683
578	937	681
579	938	679
580	939	677
581	941	675
582	942	673
583	943	671
584	944	669
585	945	667
586	946	665
587	947	663
588	948	661
589	949	659
590	950	657
591	951	655
592	952	653
593	953	651
594	954	649
595	955	647
596	956	645
597	957	643
598	958	641
599	959	639
600	960	637
601	961	635
602	962	633
603	963	631
604	964	629
605	965	627
606	966	625
607	967	623
608	968	621
609	969	619
610	970	617
611	971	615
612	972	613
613	973	611
614	974	609
615	975	608
616	976	606
617	977	604
618	978	602
619	979	600
620	981	598
621	982	596
622	983	595
623	984	593
624	985	591
625	986	589
626	988	587
627	989	585
628	990	584
629	991	582
630	992	580
631	993	578
632	994	576
633	996	575
634	997	573
635	998	571
636	1000	570
637	1001	568
638	1003	566
639	1004	565
640	1005	563
641	1007	561
642	1008	559
643	1009	558
644	1010	556
645	1012	554
646	1013	552
647	1014	551
648	1016	549
649	1017	547
650	1018	546
651	1019	544
652	1020	542
653	1022	540
654	1023	539
655	1024	537
656	1026	535
657	1027	533
658	1029	532
659	1030	530
660	1032	529
661	1033	527
662	1035	526
663	1037	524
664	1038	523
665	1039	521
666	1041	519
667	1042	518
668	1044	516
669	1046	515
670	1047	513
671	1048	511
672	1049	510
673	1051	508
674	1052	506
675	1053	505
676	1055	503
677	1057	501
678	1059	500
679	1060	499
680	1062	497
681	1063	496
682	1065	494
683	1066	492
684	1067	491
685	1069	489
686	1070	487
687	1073	486
688	1075	485
689	1077	483
690	1078	482
691	1079	480
692	1080	478
693	1082	477
694	1083	475
695	1085	474
696	1087	472
697	1089	471
698	1091	469
699	1093	468
700	1095	467
701	1096	465
702	1098	464
703	1100	462
704	1102	461
705	1104	459
706	1106	458
707	1107	456
708	1109	455
709	1111	454
710	1113	452
711	1116	451
712	1118	450
713	1119	448
714	1120	446
715	1123	445
716	1124	443
717	1126	442
718	1128	441
719	1130	439
720	1131	437
721	1133	436
722	1135	434
723	1136	433
724	1138	431
725	1139	430
726	1141	428
727	1142	426
728	1143	425
729	1145	423
730	1146	421
731	1147	420
732	1149	418
733	1150	416
734	1151	415
735	1152	413
736	1154	411
737	1155	410
738	1156	408
739	1157	406
740	1159	405
741	1160	403
742	1162	402
743	1163	400
744	1164	398
745	1166	397
746	1167	395
747	1168	393
748	1169	392
749	1171	390
750	1172	388
751	1173	387
752	1174	385
753	1175	383
754	1177	381
755	1178	380
756	1179	378
757	1180	376
758	1181	375
759	1182	373
760	1183	371
761	1184	369
762	1185	368
763	1186	366
764	1188	364
765	1189	363
766	1190	361
767	1192	360
768	1193	358
769	1195	357
770	1197	355
771	1199	354
772	1201	352
773	1203	351
774	1205	350
775	1207	348
776	1209	347
777	1210	345
778	1212	343
779	1213	342
780	1215	340
781	1216	339
782	1218	337
783	1220	336
784	1221	334
785	1223	333
786	1225	331
787	1227	330
788	1228	328
789	1230	327
790	1231	325
791	1233	323
792	1234	322
793	1236	320
794	1237	319
795	1238	317
796	1240	315
797	1241	314
798	1242	312
799	1243	310
800	1244	309
801	1246	307
802	1247	306
803	1248	304
804	1249	302
805	1251	301
806	1252	299
807	1253	297
808	1254	296
809	1257	295
810	1258	293
811	1259	291
812	1261	290
813	1262	288
814	1264	286
815	1265	285
816	1266	283
817	1268	282
818	1269	280
819	1271	279
820	1272	277
821	1274	275
822	1275	274
823	1276	272
824	1278	271
825	1279	269
826	1281	267
827	1282	266
828	1283	264
829	1285	263
830	1286	261
831	1288	260
832	1290	258
833	1291	257
834	1293	255
835	1295	254
836	1296	252
837	1297	250
838	1299	249
839	1300	247
840	1301	246
841	1303	244
842	1305	243
843	1306	241
844	1307	239
845	1308	238
846	1310	236
847	1311	235
848	1312	233
849	1313	231
850	1314	230
851	1316	228
852	1317	226
853	1318	225
854	1319	223
855	1321	222
856	1322	220
857	1323	219
858	1324	217
859	1325	215
860	1326	214
861	1327	212
862	1328	210
863	1329	209
864	1330	207
865	1331	206
866	1333	204
867	1334	202
868	1335	201
869	1336	199
870	1337	198
871	1338	196
872	1339	194
873	1340	193
874	1341	191
875	1342	189
876	1342	188
877	1343	186
878	1344	185
879	1345	183
880	1346	181
881	1347	180
882	1348	178
883	1349	177
884	1350	175
885	1351	173
886	1352	172
887	1353	170
888	1354	169
889	1355	167
890	1356	165
891	1357	164
892	1358	162
893	1359	161
894	1361	159
895	1362	158
896	1364	156
897	1366	155
898	1367	153
899	1368	152
900	1370	150
901	1371	149
902	1373	147
903	1374	145
904	1375	144
905	1377	142
906	1378	141
907	1379	139
908	1381	138
909	1382	136
910	1383	135
911	1384	133
912	1385	132
913	1387	130
914	1388	129
915	1390	127
916	1391	125
917	1393	124
918	1394	122
919	1395	121
920	1396	119
921	1398	118
922	1399	116
923	1400	115
924	1401	113
925	1403	112
926	1404	110
927	1405	109
928	1407	107
929	1408	106
930	1410	104
931	1411	102
932	1412	101
933	1414	99
934	1415	98
935	1417	96
936	1418	95
937	1420	93
938	1421	92
939	1423	90
940	1424	89
941	1425	87
942	1426	86
943	1428	84
944	1429	83
945	1431	81
946	1432	80
947	1433	78
948	1435	77
949	1436	75
950	1438	74
951	1439	72
952	1440	71
953	1442	69
954	1444	68
955	1445	66
956	1447	65
957	1448	63
958	1450	61
959	1451	60
960	1453	58
961	1454	57
962	1455	55
963	1457	54
964	1458	52
965	1460	51
966	1463	49
967	1466	48
968	1468	46
969	1470	45
970	1472	43
971	1473	42
972	1475	40
973	1476	39
974	1478	37
975	1480	36
976	1481	34
977	1483	33
978	1484	31
979	1486	30
980	1488	28
981	1489	27
982	1492	25
983	1494	24
984	1496	22
985	1498	21
986	1500	19
987	1503	18
988	1505	16
989	1509	15
990	1511	13
991	1513	12
992	1515	10
993	1516	9
994	1518	7
995	1519	6
996	1521	4
997	1523	3
998	1525	1
999	1526	0
